school_year,school_level_id,veracross_course_id,class_id,description,veracross_teacher_fk,begin_date,end_date,grading_period_group_id,grading_method_id,grade_conversion_scale_id,term_credit_hours,room_id,homeroom_class_internal_id,student_group,virtual_meeting_url,class_notes
2024,2,48,3096-GKG-S1,Unit of Inquiry - Pre/KG - s1,101416,,,2,1,,,75,,,,
2024,2,48,3096-GPK-S1,Unit of Inquiry - Pre/KG - s1,101416,,,2,1,,,75,,,,
2024,2,65,2189-GKG-S1,Music - Pre/KG - s1,101401,,,2,1,,,41,,,,
2024,2,65,2189-GPK-S1,Music - Pre/KG - s1,101401,,,2,1,,,41,,,,
2024,2,12,3345-G4-S1,Literacy - 3/4 - s1,101332,,,2,1,,,86,,,,
2024,2,12,3345-G3-S1,Literacy - 3/4 - s1,101332,,,2,1,,,86,,,,
2024,2,24,2161-S1,Library - 5 - s1,101931,,,2,1,,,,,,,
2024,2,15,2130-S1,Math - 5 - s1,101239,,,2,1,,,64,,,,
2024,2,91,2207-S1,Physical Education - 5 - s1,101415,,,2,1,,,42,,,,
2024,2,43,3058-GKG-S1,Tamil - Conversational  Pre/KG - s1,100871,,,2,1,,,80,,,,
2024,2,43,3058-GPK-S1,Tamil - Conversational  Pre/KG - s1,100871,,,2,1,,,80,,,,
2024,3,137,2470-S1,Visual Arts - 6 - s1,101523,,,2,1,,,68,,,,
2024,4,132,3415-S1,Performing Arts Drama -10 - s1,101586,,,2,1,,,,,,,
2024,4,365,3300-S1,"Sports, Exercise and Health Science PSL - s1",101468,,,2,1,,,162,,,,
2024,4,366,3314-S3,"Sports, Exercise and Health Science SL - s3",101415,,,2,1,,,154,,,,
2024,4,379,3392-G12-S1,Cultural Tamil 11-12 - s1,101401,,,2,1,,,154,,,,
2024,4,379,3392-G11-S1,Cultural Tamil 11-12 - s1,101401,,,2,1,,,154,,,,
2024,4,240,3391-S1,Cultural Tamil 10 - s1,101401,,,2,1,,,154,,,,
2024,4,440,1642-S3,Theory of Knowledge - I - s3,101202,,,2,1,,,171,,,,
2024,4,441,1643-S2,Theory of Knowledge - II - s2,101202,,,2,1,,,172,,,,
2024,4,440,1642-S8,Theory of Knowledge - I - s8,101419,,,2,1,,,170,,,,
2024,4,441,1643-S1,Theory of Knowledge - II - s1,101352,,,2,1,,,162,,,,
2024,4,260,3387-S3,Social & Environmental Experience -10 - s3,101567,,,2,1,,,146,,,,
2024,4,260,3387-S4,Social & Environmental Experience -10 - s4,101567,,,2,1,,,12,,,,
2024,4,259,3386-S2,Social & Environmental Experience - 9 - s2,101385,,,2,1,,,19,,,,
2024,3,108,3075-S3,Design - 8 - s3,101094,,,2,1,,,88,,,,
2024,3,108,3075-S4,Design - 8 - s4,101094,,,2,1,,,88,,,,
2024,3,108,3075-S2,Design - 8 - s2,101094,,,2,1,,,88,,,,
2024,3,108,3075-S1,Design - 8 - s1,101094,,,2,1,,,88,,,,
2024,3,206,2026-S2,Science - 8 - s2,101400,,,2,1,,,84,,,,
2024,3,206,2026-S3,Science - 8 - s3,101400,,,2,1,,,84,,,,
2024,3,206,2026-S1,Science - 8 - s1,101400,,,2,1,,,84,,,,
2024,3,258,3385-S2,Social & Environmental Experience - 8 - s2,101385,,,2,1,,,82,,,,
2024,3,258,3385-S3,Social & Environmental Experience - 8 - s3,101385,,,2,1,,,82,,,,
2024,3,258,3385-S1,Social & Environmental Experience - 8 - s1,101385,,,2,1,,,82,,,,
2024,3,139,2472-S2,Visual Arts - 8 - s2,101523,,,2,1,,,68,,,,
2024,4,348,3380-S3,Health - 11 - s3,101463,,,2,1,,,,,,,
2024,4,348,3380-S5,Health - 11 - s5,101463,,,2,1,,,,,,,
2024,4,348,3380-S1,Health - 11 - s1,101463,,,2,1,,,,,,,
2024,4,348,3380-S2,Health - 11 - s2,101463,,,2,1,,,,,,,
2024,4,348,3380-S4,Health - 11 - s4,101463,,,2,1,,,,,,,
2024,2,3,2342-G4-S1,Life Skills - 3-4 - s1,101943,,,2,1,,,,,,,
2024,2,3,2342-G3-S1,Life Skills - 3-4 - s1,101943,,,2,1,,,,,,,
2024,2,4,2343-S1,Life Skills - 5 - s1,101943,,,2,1,,,,,,,
2024,2,5,3356-G2-S1,Life Skills - 1/2 - s1,101943,,,2,1,,,,,,,
2024,2,5,3356-G1-S1,Life Skills - 1/2 - s1,101943,,,2,1,,,,,,,
2024,2,6,3357-S1,Life Skills - Pre/KG - s1,101943,,,2,1,,,,,,,
2024,2,53,3273-GKG-S1,Makerspace - Pre/KG - s1,101094,,,2,1,,,88,,,,
2024,2,53,3273-GPK-S1,Makerspace - Pre/KG - s1,101094,,,2,1,,,88,,,,
2024,2,38,2967-G2-S1,Mother Tongue Development - 1/2 - s1,101195,,,2,1,,,74,,,,
2024,2,38,2967-G1-S1,Mother Tongue Development - 1/2 - s1,101195,,,2,1,,,74,,,,
2024,2,39,2969-S1,MotherTongue - 5 - s1,101239,,,2,1,,,64,,,,
2024,4,355,1878-S1,Biology - PSL - s1,101463,,,2,1,,,10,,,,
2024,4,346,3443-G12-S11,Physical Education - 11-12 - s11,101238,,,2,1,,,91,,,,
2024,4,346,3443-G11-S11,Physical Education - 11-12 - s11,101238,,,2,1,,,91,,,,
2024,2,22,2695-G2-S1,Computer - 1/2 - s1,101195,,,2,1,,,88,,,,
2024,2,22,2695-G1-S1,Computer - 1/2 - s1,101195,,,2,1,,,88,,,,
2024,4,280,3347-S1,English 11 - s1,101287,,,2,1,,,15,,,,
2024,3,119,3410-S1,Intensive English 6 - s1,101511,,,2,1,,,,,,,
2024,4,351,2805-S2,Environmental systems & societies PSL - s2,101233,,,2,1,,,169,,,,
2024,4,272,3235-S2,Cooking (I) - s2,101222,,,2,1,,,6,,,,
2024,4,272,3235-S1,Cooking (I) - s1,101222,,,2,1,,,6,,,,
2024,4,273,3236-S1,Cooking (II) - s1,101222,,,2,1,,,6,,,,
2024,4,350,3087-S1,Individual Study of World Religion - s1,101222,,,2,1,,,6,,,,
2024,4,350,3087-S2,Individual Study of World Religion - s2,101222,,,2,1,,,6,,,,
2024,4,427,3186-S2,Economics - PHL - s2,101286,,,2,1,,,160,,,,
2024,4,429,3188-S1,Business Management - PHL - s1,101935,,,2,1,,,171,,,,
2024,4,429,3188-S2,Business Management - PHL - s2,101935,,,2,1,,,171,,,,
2024,4,429,3188-S3,Business Management - PHL - s3,101419,,,2,1,,,170,,,,
2024,4,150,3316-S1,Math - 9 Extended - s1,101946,,,2,1,,,172,,,,
2024,4,350,3087-S3,Individual Study of World Religion - s3,101222,,,2,1,,,6,,,,
2024,4,265,3066-S4,Individuals and Societies - 9 - s4,101959,,,2,1,,,149,,,,
2024,4,213,3442-S1,Science 9 - Physics - s1,101944,,,2,1,,,167,,,,
2024,4,213,3442-S2,Science 9 - Physics - s2,101944,,,2,1,,,167,,,,
2024,4,118,3072-S4,Language and Literature - 10 - s4,101285,,,2,1,,,5,,,,
2024,4,118,3072-S3,Language and Literature - 10 - s3,101285,,,2,1,,,5,,,,
2024,4,118,3072-S2,Language and Literature - 10 - s2,101945,,,2,1,,,19,,,,
2024,4,260,3387-S2,Social & Environmental Experience -10 - s2,101567,,,2,1,,,12,,,,
2024,4,196,3340-S1,Physical and Health Education 9/10 - s1,101279,,,2,1,,,39,,,,
2024,4,196,3340-S4,Physical and Health Education 9/10 - s4,101468,,,2,1,,,39,,,,
2024,4,196,3340-S3,Physical and Health Education 9/10 - s3,101279,,,2,1,,,39,,,,
2024,3,263,3409-S3,Individuals and Societies - 8 - s3,101402,,,2,1,,,69,,,,
2024,3,263,3409-S1,Individuals and Societies - 8 - s1,101402,,,2,1,,,69,,,,
2024,3,263,3409-S2,Individuals and Societies - 8 - s2,101402,,,2,1,,,69,,,,
2024,3,121,3412-S1,Intensive English 1-8 - s1,101511,,,2,1,,,,,,,
